page_name,about,fan_count,talking_about_count,website,page_id,year,month,day
RedFlag News,"Trending headlines, commentary, breaking news and current events from the official RedFlagNews.com community. Save time. Stay informed.",282797,7387,http://redflagnews.com,116727628853,2009,6,
Conservative News,,557801,4655,http://www.ConservativeNews.com,116933681791119,2012,9,21
USA News,USA Everyday News,93301,10464,rusharea.com,1170562502965493,,,
Center for a Stateless Society (C4SS),"The Center for a Stateless Society (C4SS) is an anarchist think-tank and media center, dedicated to building public awareness of left-wing market anarchism.",10185,111,http://c4ss.org/,117719681572756,2006,10,10
HangTheBankers.com,"Hang The Bankers is your #1 source of the news that matters.

http://www.hangthebankers.com",18799,182,http://hangthebankers.com,117819051682797,,,
News Corpse,The Internet's Chronicle of Media Decay,20646,964,www.NewsCorpse.com/ncWP,117899091558228,,,
Trump Party,,7524,260,http://usadailynews24.com,1184476888286808,,,
The American Spectator,Providing the wittiest conservative commentary since 1967. @americanspectator,111619,947,http://spectator.org,119049414803510,1967,9,1
WND,"WND is a fiercely independent news site committed to hard-hitting investigative reporting and serving as a watchdog on waste, fraud and abuse of power.",881973,29893,http://www.wnd.com/,119984188013847,1997,,
American Monitor Online,News,747326,116533,http://www.TruthMonitor.com,1202208636511729,,,
Left Side,"Current events, politics, & cultural criticism from the left. ",13448,3,http://leftsideofhistory.com,1202861959767715,,,
Salon,"Follow us on Twitter:
https://twitter.com/salon

Follow us on Instagram:
https://www.instagram.com/salonofficial/",974316,36326,http://www.salon.com/,120680396518,1995,,
Politics Done Right with Egberto Willies,Progressive Political Radio Talk Show that encourages all points of view. ,18596,17030,http://PoliticsDoneRight.com,121664761245469,2014,1,1
World News And Rumors,World news and rumors,121,0,http://worldnewsandrumors.space/,1221818827889644,,,
Western Journalism,WesternJournalism was launched to provide quality news and commentary for a generation fed up with mainstream media bias. ,5176602,196485,http://www.westernjournalism.com,123624513983,2008,9,25
Refined Right,"Refined Right combines long-form journalism and political commentary to offer classy and insightful reporting. We offer both current events, and a clean br",414,5,https://www.refinedright.com,1237168256301866,2016,,
Reagan Coalition,We are Conservatives and proud of it. http://www.reagancoalition.com,451049,6563,http://www.reagancoalition.com,123917457765597,,,
2nd Amendment,We support the right of the people to keep and bear arms. LIKE if you agree!  http://BearingArms.com,2010825,46280,http://bearingarms.com,124538510989702,2011,,
Political Wire,"Political Wire is one of the earliest political blogs, updated around the clock with the most interesting news, buzz and commentary from inside the halls of government.Share our posts with your friends and invite them to join the conversation!",51705,106,http://politicalwire.com,126284487422,,,
Prison Planet.TV,Like this page to receive daily videos from the Infowars Nightly News in your feed. www.infowarsnews.com / www.prisonplanet.tv ,24247,148,http://www.infowarsnews.com,126313621603,,,
Fairness & Accuracy In Reporting,"FAIR, the national media watch group, has been offering well-documented criticism of media bias and censorship since 1986. http://www.fair.org",97704,1777,www.fair.org,12641323331,1986,,
Patriot News Daily,Patriot News Daily Website,508,4,http://patriotnewsdaily.com/,126703811068849,,,
Counter-Currents Publishing,Books Against Time,8197,256,http://www.counter-currents.com,127191793979316,2010,6,
Activist Post,"INTERRUPT YOUR REGULARLY SCHEDULED PROGRAM
Alternative News for Enlightened Minds!",560089,14555,www.activistpost.com,128407570539436,2010,1,1
Bookworm Room,"Since 2004, Bookworm has been blogging on conservative political and social issues with all the passion and fury a convert to conservativism can muster.

http://www.bookwormroom.com/",629,40,http://www.bookwormroom.com/,128475230511762,,,
True Activist,Exposing the truth one lie at a time www.trueactivist.com,1468115,126067,,129370207168068,2012,1,
BlingNews,"Welcome to Bling News! We compile the greatest and most interesting artifacts from across the web and deliver them to you here at BlingNews.com!
OUR MOTTO is “Think Differently – Spark Creativity”.",4884,4724,http://www.blingnews.com,129425217526985,,,
Saving Our Future,"http://savingourfuture.com At time edgy, at times more contemplative, Saving Our Future is your place to explore the breadth of issues between the contemporary and the eternal.",33293,12,http://savingourfuture.com/,130631440429139,,,
Raw Progressive,,621613,54984,rawprogressive.com,131682593971195,,,
Donald Trump For President,Donald Trump must win!,3831381,162097,http://redstatewatcher.com,133961323610549,,,
Truth Examiner,,3573203,684441,http://TruthExaminer.com,1340186812659728,,,
Left Wing Nation,"America is, and always has been, a Left Wing Nation!",115070,8135,http://www.leftwingnation.org/,134176153323755,2011,5,
Vidmax2,"Our official page was hacked, this is our new Vidmax page now. Please get the word out.",137385,90607,http://vidmax.com/,1349936971683802,,,
Political Site News,Breaking Political News!,23694,330,http://politicalsitenews.com,1353320324694643,,,
Eagle Rising,"Libertas Justitia Veritas
www.eaglerising.com
www.twitter.com/theEagleiRising",687743,37785,http://eaglerising.com/,135665053303678,2013,6,17
Rush Limbaugh,The Official Facebook Page of America's Anchorman,2326917,90052,www.RushLimbaugh.com,136264019722601,1988,8,
The Ring of Fire,"The Ring of Fire is an independent multi-media outlet for the latest Progressive news, commentary and analysis.",219492,17797,http://trofire.com/,136764599915,2004,,
Greenville Gazette,http://www.greenvillegazette.com,827864,6283,http://www.greenvillegazette.com,1374461649456926,1982,10,17
Towleroad,"A site with homosexual tendencies. The gay news source. LGBT news and issues. Politics, entertainment and much more. www.towleroad.com",41213,3572,http://www.towleroad.com,13794040506,2003,,
InvestmentWatch,Spread the truth. Empower the People.,3010,333,http://investmentwatchblog.com,138869856179618,2008,,
Left Action,"TAKE ACTION!  ""Like"" this page, and join over 1,000,000 activists taking action, fighting for progressive causes, and... having some fun while doing it. http://LeftAction.com",1416061,111234,http://LeftAction.com ,139398939438430,2011,,
The People's View,"A progressive public policy and political blog to expand and encourage civil debate.

http://www.thepeoplesview.net",3117,9,http://www.thepeoplesview.net,140375152651507,2005,,
Rick Wells' Free Speech Patriots,I'm a conservative writer who is appalled by the destruction of our country by anti-American forces within our hijacked government. It simply must change.,63277,5832,http://www.rickwells.us,1405080846374047,2004,,
TheBlaze,Authentic. Unfiltered. Fearless.,2003329,87697,https://premium.theblaze.com/tv,140738092630206,2010,8,30
The Glazov Gang,The official Facebook page of The Glazov Gang. Please donate to: https://www.paypal.com/cgi-bin/webscr?cmd=_donations&business=RWPXQUKHG5JZL&lc=US&item_nam,8744,126,http://www.jamieglazov.com http://www.frontpagemag.com,1411473115776017,,,
Craig James,"Craig James is a small-government conservative who believes in God, the family and the constitution.",100598,24,http://craigjames.com,1414486152197718,,,
The Real Side Radio Show with Joe Messina,The Real Side covers today's hot-button issues from all sides. TUNE IN LIVE 6pm-9pmPT/9pm-12amET Where we all have a side & disagreement is allowed!,38988,1033,www.TheRealSide.com,141741139173942,2011,6,1
The Revolution,Simply The Best Conservative News Source.,1668540,124108,http://www.UFPnews.com,142868065759441,1776,7,4
Jacobin Magazine,"Jacobin is a leading voice of the American left, offering socialist perspectives on politics, economics, and culture. ",271672,28233,http://jacobinmag.com,143021112391265,2010,,
Usanews-24,"USAnews24 is the newspaper and news on the internet It shows everything about America, its political things and everything else, and we will try to do our best to thank you.",9487,27635,http://anews-24.com/,1430973860248840,2014,12,22
Daily Wire,"Our goal is simple: unmask leftists in the media for who they are, destroy their credibility with the American public, and devastate their funding bases.",1575837,132528,http://www.dailywire.com/,1435071773455316,,,
American Thinker,"www.AmericanThinker.com encourages discussion and commenting -- Please ""Like"" us here on Facebook and Follow us on Twitter (www.twitter.com/AmericanThinker)  -- Join us at www.AmericanThinker.com",116485,3355,www.americanthinker.com,144317282271701,2003,,
NewsHounds.us,We watch Fox so you don't have to.,3050,228,www.newshounds.us,144344708930358,,,
Daily Surge,"http://dailysurge.com Heart-pounding videos, news, and entertainment. ",35111,763,http://dailysurge.com,1444086445825928,,,
Bloody Rubbish,Robert Willis is the ORIGINAL Punk Right-wing Millennial. BloodyRubbish is his blog.,9539,1,http://www.BloodyRubbish.com,145008569258178,,,
Secure America Now,"We are the largest national security digital platform in the nation, dedicated to bringing critical security issues to the forefront of the American debate",3532073,102852,www.SecureAmericaNow.org,145380305523723,2011,,
